iter	Passed	Remaining
0	120	11957
1	122	5980
2	123	3982
3	124	2985
4	125	2386
5	126	1987
6	127	1699
7	129	1483
8	130	1318
9	131	1183
10	132	1073
11	133	981
12	135	907
13	136	841
14	139	787
15	141	743
16	144	706
17	146	665
18	147	628
19	148	594
20	150	565
21	151	537
22	154	517
23	156	494
24	157	471
25	158	451
26	159	432
27	161	414
28	162	397
29	163	382
30	166	370
31	167	356
32	169	343
33	170	331
34	172	319
35	173	308
36	175	299
37	177	289
38	178	279
39	179	269
40	180	260
41	182	251
42	183	242
43	184	234
44	185	226
45	186	218
46	188	212
47	189	204
48	190	197
49	191	191
50	192	184
51	196	181
52	200	177
53	201	171
54	203	166
55	205	161
56	206	156
57	208	151
58	210	146
59	211	140
60	213	136
61	215	132
62	216	127
63	219	123
64	220	118
65	222	114
66	226	111
67	228	107
68	233	104
69	235	100
70	236	96
71	238	92
72	241	89
73	242	85
74	244	81
75	245	77
76	246	73
77	247	69
78	248	66
79	250	62
80	252	59
81	253	55
82	254	52
83	256	48
84	257	45
85	258	42
86	259	38
87	261	35
88	264	32
89	265	29
90	267	26
91	268	23
92	269	20
93	271	17
94	272	14
95	274	11
96	276	8
97	277	5
98	279	2
99	280	0
