iter	Passed	Remaining
0	159	159711
1	160	80273
2	161	53703
3	162	40445
4	163	32502
5	164	27195
6	165	23411
7	165	20567
8	166	18364
9	168	16691
10	170	15299
11	171	14123
12	172	13093
13	173	12205
14	174	11431
15	174	10757
16	175	10159
17	176	9628
18	177	9149
19	178	8722
20	178	8334
21	179	7979
22	180	7657
23	181	7376
24	182	7129
25	184	6904
26	185	6676
27	186	6459
28	186	6257
29	187	6069
30	188	5892
31	189	5724
32	190	5569
33	190	5423
34	191	5286
35	192	5156
36	193	5032
37	194	4915
38	195	4825
39	196	4721
40	198	4638
41	199	4546
42	200	4454
43	200	4366
44	201	4284
45	202	4202
46	203	4124
47	204	4050
48	205	3979
49	205	3911
50	206	3845
51	207	3785
52	209	3736
53	210	3681
54	211	3629
55	211	3573
56	212	3519
57	213	3467
58	214	3417
59	215	3369
60	215	3321
61	216	3276
62	217	3231
63	218	3188
64	218	3147
65	219	3105
66	220	3066
67	221	3032
68	222	3006
69	223	2971
70	224	2937
71	225	2904
72	226	2871
73	226	2839
74	227	2807
75	228	2776
76	229	2746
77	229	2717
78	230	2689
79	231	2661
80	232	2634
81	232	2607
82	233	2577
83	234	2551
84	235	2531
85	236	2509
86	237	2489
87	238	2470
88	239	2447
89	239	2425
90	240	2402
91	241	2381
92	242	2360
93	242	2339
94	243	2319
95	244	2300
96	245	2280
97	245	2261
98	246	2242
99	247	2224
100	248	2209
101	249	2198
102	250	2181
103	251	2165
104	252	2148
105	252	2131
106	253	2115
107	254	2100
108	255	2084
109	255	2069
110	256	2054
111	257	2039
112	258	2025
113	258	2012
114	259	1998
115	260	1985
116	261	1971
117	262	1962
118	263	1950
119	264	1937
120	264	1924
121	265	1911
122	266	1899
123	267	1887
124	267	1875
125	268	1863
126	269	1850
127	269	1839
128	270	1828
129	271	1817
130	272	1805
131	272	1794
132	273	1783
133	274	1774
134	275	1767
135	276	1757
136	277	1747
137	278	1737
138	278	1727
139	279	1718
140	280	1709
141	281	1698
142	281	1689
143	282	1680
144	283	1672
145	284	1663
146	285	1654
147	286	1646
148	286	1638
149	287	1630
150	289	1625
151	289	1617
152	290	1609
